station_name,location
Riverview Park,"(40.7443187, -74.0439909)"
Sip Ave,"(40.73089709786179, -74.06391263008118)"
Grove St PATH,"(40.71958611647166, -74.04311746358871)"
Columbus Dr at Exchange Pl,"(40.71687, -74.03281)"
4 St & Grand St,"(40.7422579775645, -74.03511106967926)"
Newport PATH,"(40.7272235, -74.0337589)"
14 St Ferry - 14 St & Shipyard Ln,"(40.752960630464955, -74.02435272932053)"
Hoboken Terminal - River St & Hudson Pl,"(40.7360676564825, -74.02912706136703)"
Dixon Mills,"(40.721630142638354, -74.04996782541275)"
City Hall - Washington St & 1 St,"(40.73736, -74.03097)"
5 Corners Library,"(40.734961020009514, -74.0595030784607)"
6 St & Grand St,"(40.7443978330956, -74.03450086712837)"
Willow Ave & 12 St,"(40.7518674823282, -74.03037697076797)"
Newark Ave,"(40.72152515, -74.046304543)"
7 St & Monroe St,"(40.74641264837719, -74.03797701001167)"
Grand St & 14 St,"(40.75409, -74.0316)"
City Hall,"(40.7177325, -74.043845)"
Hoboken Terminal - Hudson St & Hudson Pl,"(40.73593758446329, -74.03030455112457)"
Liberty Light Rail,"(40.7112423, -74.0557013)"
Hudson St & 4 St,"(40.74097260864355, -74.02860336005688)"
Bloomfield St & 15 St,"(40.75453, -74.02658)"
Columbus Drive,"(40.71835519823214, -74.03891444206238)"
Warren St,"(40.7211236, -74.03805095)"
Journal Square,"(40.73367, -74.0625)"
Adams St & 11 St,"(40.750915534784994, -74.03354063630104)"
Adams St & 2 St,"(40.73981372311843, -74.03690412640572)"
Paulus Hook,"(40.7141454, -74.0335519)"
11 St & Washington St,"(40.74998490907138, -74.02715027332306)"
8 St & Washington St,"(40.745983882915624, -74.02819901704788)"
Hamilton Park,"(40.727595966, -74.044247311)"
Brunswick St,"(40.7241765, -74.0506564)"
12 St & Sinatra Dr N,"(40.75060414236896, -74.02402013540268)"
Baldwin at Montgomery,"(40.7236589, -74.0641943)"
Grand St,"(40.71517767732029, -74.03768330812454)"
Madison St & 10 St,"(40.74994325412246, -74.03586477041245)"
Clinton St & Newark St,"(40.73743, -74.03571)"
Manila & 1st,"(40.721650724879986, -74.04288411140442)"
Columbus Park - Clinton St & 9 St,"(40.74816121065146, -74.0324530005455)"
Morris Canal,"(40.7124188237569, -74.03852552175522)"
Harborside,"(40.7192517, -74.034234)"
Brunswick & 6th,"(40.72601172964625, -74.05038893222809)"
Marin Light Rail,"(40.71458403535893, -74.04281705617905)"
Essex Light Rail,"(40.7127742, -74.0364857)"
Hoboken Ave at Monmouth St,"(40.73520838045357, -74.04696375131607)"
JC Medical Center,"(40.71653978099194, -74.0496379137039)"
Newport Pkwy,"(40.7287448, -74.0321082)"
Dey St,"(40.737711, -74.066921)"
Jersey & 6th St,"(40.72528910781132, -74.04557168483734)"
Hilltop,"(40.7311689, -74.0575736)"
Church Sq Park - 5 St & Park Ave,"(40.74265933273143, -74.03223305940628)"
Pershing Field,"(40.742677141, -74.051788633)"
Glenwood Ave,"(40.72755146730012, -74.07106071710587)"
McGinley Square,"(40.7253399253558, -74.06762212514877)"
South Waterfront Walkway - Sinatra Dr & 1 St,"(40.73698221818716, -74.02778059244156)"
Van Vorst Park,"(40.71848892, -74.047726625)"
Jersey & 3rd,"(40.72333158646436, -74.04595255851744)"
Washington St,"(40.7242941, -74.0354826)"
Lincoln Park,"(40.7246050998869, -74.07840594649315)"
Oakland Ave,"(40.7376037, -74.0524783)"
Lafayette Park,"(40.71346382669195, -74.06285852193832)"
Astor Place,"(40.71928220070702, -74.07126188278198)"
Christ Hospital,"(40.734785818, -74.050443636)"
Communipaw & Berry Lane,"(40.71435836870427, -74.06661093235016)"
Marshall St & 2 St,"(40.740802, -74.042521)"
Leonard Gordon Park,"(40.74590996631558, -74.0572714805603)"
Montgomery St,"(40.71942, -74.05099)"
Bergen Ave & Stegman St,"(40.70657545063453, -74.0867006778717)"
Bergen Ave,"(40.722103786686034, -74.07145500183105)"
9 St HBLR - Jackson St & 8 St,"(40.74790720968899, -74.03841152787209)"
Monmouth and 6th,"(40.72568548362901, -74.04879033565521)"
Grant Ave & MLK Dr,"(40.70919832245443, -74.08084273338318)"
Madison St & 1 St,"(40.73879, -74.0393)"
Mama Johnson Field - 4 St & Jackson St,"(40.74313993965626, -74.04004096984863)"
Clinton St & 7 St,"(40.74542, -74.03332)"
Union St,"(40.7182113, -74.0836394)"
Jackson Square,"(40.71113, -74.0789)"
Southwest Park - Jackson St & Observer Hwy,"(40.73755127245804, -74.04166370630264)"
Heights Elevator,"(40.748715945380226, -74.04044330120087)"
Fairmount Ave,"(40.72572613742557, -74.07195925712585)"
Stevens - River Ter & 6 St,"(40.74313282710551, -74.02698867022991)"
JCBS Depot,"(40.70965083364061, -74.06860113143921)"
Bergen Ave & Sip Ave,"(40.73100888698729, -74.06443700194359)"
York St & Marin Blvd,"(40.716615000830494, -74.0424120426178)"
MTL-ECO5-LAB,"(40.74716563443737, -74.08896387030836)"
,"(40.74, -74.03)"
Mercer St & Spring St,"(40.71528505, -74.03782831666666)"
2 St & Park Ave,"(40.73915272763701, -74.0330819785595)"
Exchange Pl,"(40.716281772, -74.03443563)"
Maiden Ln & Pearl St,"(40.735353589, -74.046973348)"
W 30 St & 10 Ave,"(40.735353589, -74.046973348)"
Washington Square E,"(40.735353589, -74.046973348)"
E 11 St & 3 Ave,"(40.735353589, -74.046973348)"
E 11 St & 1 Ave,"(40.735353589, -74.046973348)"
Greenwich Ave & 8 Ave,"(40.735353589, -74.046973348)"
Cooper Square & Astor Pl,"(40.735353589, -74.046973348)"
7 Ave & Central Park South,"(40.735353589, -74.046973348)"
5 Ave & E 87 St,"(40.735353589, -74.046973348)"
E 68 St & Madison Ave,"(40.735353589, -74.046973348)"
W 41 St & 8 Ave,"(40.735353589, -74.046973348)"
St Marks Pl & 4 Ave,"(40.735353589, -74.046973348)"
Commerce St & Van Brunt St,"(40.735353589, -74.046973348)"
Nevins St & Schermerhorn St,"(40.735353589, -74.046973348)"
Kosciuszko St & Tompkins Ave,"(40.735353589, -74.046973348)"
Bond St & Bergen St,"(40.735353589, -74.046973348)"
Carroll St & 5 Ave,"(40.735353589, -74.046973348)"
Bergen St & Flatbush Ave,"(40.735353589, -74.046973348)"
Pacific St & Smith St,"(40.735353589, -74.046973348)"
Hanson Pl & Ashland Pl,"(40.735353589, -74.046973348)"
E 2 St & 2 Ave,"(40.735353589, -74.046973348)"
George St & Wilson Ave,"(40.735353589, -74.046973348)"
Stockholm St & Wilson Ave,"(40.735353589, -74.046973348)"
Central Ave & Covert St,"(40.735353589, -74.046973348)"
Wilson Ave & Moffat St,"(40.735353589, -74.046973348)"
Bushwick Ave & Furman Ave,"(40.735353589, -74.046973348)"
Halsey St & Broadway,"(40.735353589, -74.046973348)"
Halsey St & Evergreen Ave,"(40.735353589, -74.046973348)"
Greene Av & Myrtle Av,"(40.735353589, -74.046973348)"
Myrtle Ave & Grove St,"(40.735353589, -74.046973348)"
Union Ave & N 12 St,"(40.735353589, -74.046973348)"
Greenpoint Ave & West St,"(40.735353589, -74.046973348)"
Kingsland Ave & Nassau Ave,"(40.735353589, -74.046973348)"
Wythe Ave & Metropolitan Ave,"(40.735353589, -74.046973348)"
S 2 St & Kent Ave,"(40.735353589, -74.046973348)"
Washington Pl & Broadway,"(40.735353589, -74.046973348)"
Leonard St & Church St,"(40.735353589, -74.046973348)"
Canal St & Rutgers St,"(40.735353589, -74.046973348)"
Main St & Plymouth St,"(40.735353589, -74.046973348)"
Delancey St & Eldridge St,"(40.735353589, -74.046973348)"
White St & Moore St,"(40.735353589, -74.046973348)"
Emerson Pl & Myrtle Ave,"(40.735353589, -74.046973348)"
Halsey St & Tompkins Ave,"(40.735353589, -74.046973348)"
Grand St & Havemeyer St,"(40.735353589, -74.046973348)"
Henry St & Degraw St,"(40.735353589, -74.046973348)"
Henry St & Atlantic Ave,"(40.735353589, -74.046973348)"
Willoughby Ave & Tompkins Ave,"(40.735353589, -74.046973348)"
Monroe St & Bedford Ave,"(40.735353589, -74.046973348)"
E 27 St & 1 Ave,"(40.735353589, -74.046973348)"
